Escape Room Name,Address,Phone Number,URL of Escape Room,Hours of Operation,Reviews,Average Salary,Number of Employees,Opening Year,Website,Email,Google Reviews,Price Level,Rating,Type of Business,Business Hours,Google Business URL,Facebook,Twitter,Instagram
Lee PLC,"652 Roman Brook Apt. 423
Lake Todd, LA 31318",8763514073,https://moore.biz/,10 AM - 8 PM,151,"$54,409",14,2023,http://wilson.info/,qcarroll@example.com,324,Inexpensive,1.0,Escape Room,9 AM - 8 PM,http://www.stanley-hawkins.org/,https://smith.org/,http://www.scott.biz/,https://www.green-hodge.com/
"Murray, Hinton and King","847 Kenneth Fall
North Charles, NY 52692",242-252-9652x69789,http://campos.com/,9 AM - 9 PM,332,"$51,385",32,2006,https://avila.net/,ericwhite@example.com,319,Very Expensive,4.8,Escape Room,11 AM - 5 PM,https://www.johnson-anderson.com/,https://quinn.biz/,https://www.cunningham-thomas.com/,https://www.golden.biz/
Johnson-Hernandez,"848 Montgomery Ramp Suite 703
Lake Shannonberg, FM 15169",(468)606-8881x1151,http://graham.org/,10 AM - 7 PM,478,"$46,002",17,2023,http://reeves.com/,deborahmelendez@example.net,680,Expensive,1.2,Adventure Park,9 AM - 7 PM,http://www.rodriguez.com/,https://baldwin.com/,http://wallace.com/,https://www.kelly-torres.com/
Gutierrez-Lee,"916 Allen Pines
Lake Larryview, MP 98379",(325)579-0652x548,https://www.harris-jackson.info/,11 AM - 9 PM,307,"$52,731",36,2023,https://www.robbins.com/,debrarogers@example.com,177,Moderate,1.6,Adventure Park,9 AM - 7 PM,http://www.matthews.com/,https://shah-brown.info/,https://acosta.com/,http://www.ortega.org/
Stevens-Cortez,"920 Evans Street Apt. 690
Christinaburgh, DE 70696",001-575-377-8826x38647,https://smith-long.com/,9 AM - 10 PM,490,"$24,481",24,2000,http://www.hooper-harrison.com/,christophermorris@example.com,48,Very Expensive,4.4,Puzzle Room,9 AM - 6 PM,https://estrada-hughes.org/,https://www.johnson.com/,https://hernandez-gregory.com/,http://joyce.net/
"Matthews, Roberts and Kane","982 Sherry Glens Suite 394
West Christina, IL 56742",367.758.7465x99269,https://lambert.org/,11 AM - 11 PM,286,"$53,510",6,2000,http://www.carr.info/,kshelton@example.net,191,Moderate,3.2,Adventure Park,11 AM - 9 PM,https://lee-rich.com/,https://www.odonnell.com/,https://gonzalez.com/,http://hinton.net/
"Wolfe, Benjamin and Wise","85122 Diaz Plains
West Chase, WI 65781",598-741-8978,http://montgomery-williamson.net/,10 AM - 7 PM,415,"$20,566",8,2002,https://herrera.com/,morgan32@example.org,768,Free,1.7,Adventure Park,11 AM - 7 PM,http://duncan-morris.com/,http://giles.com/,https://www.hart.com/,https://www.silva.net/
Turner and Sons,"0061 Anthony Road Apt. 949
Whiteburgh, WI 69504",(343)853-0786x0511,https://howard.com/,10 AM - 6 PM,218,"$55,327",9,2023,https://www.thompson-williams.com/,lori47@example.net,276,Inexpensive,1.4,Escape Room,10 AM - 5 PM,http://www.booth.org/,https://www.schaefer.net/,http://mitchell-davis.net/,https://www.butler-adams.com/
Green-Fields,"74250 Robinson Spring
Lake Mary, WY 91738",(739)891-4438,https://www.hall-fox.com/,11 AM - 6 PM,412,"$38,012",40,2012,http://vasquez.net/,michelehansen@example.org,271,Expensive,3.6,Adventure Park,10 AM - 9 PM,https://jacobs.net/,https://donaldson.com/,https://www.jones.com/,http://thompson.info/
"Kent, Walsh and Robinson","0814 Tonya Corners
West Benjamin, MT 39645",(312)933-9715x971,https://www.rhodes-richardson.net/,9 AM - 9 PM,332,"$28,443",14,2000,https://www.norris.com/,alanlong@example.org,325,Free,3.2,Puzzle Room,10 AM - 6 PM,https://benjamin.com/,https://www.miller.com/,https://www.johnson.com/,https://www.bauer.info/
Parker-Mason,"69371 Madison Inlet
Normaport, LA 38627",916.668.4673,http://www.good-mcguire.net/,9 AM - 6 PM,410,"$48,152",38,2015,http://www.nichols-hart.com/,oneilldeanna@example.com,813,Very Expensive,1.9,Adventure Park,9 AM - 5 PM,http://www.manning-johnson.com/,http://www.hampton.com/,https://cox.org/,https://www.lowe.com/
Chaney Ltd,"USCGC King
FPO AE 64631",+1-418-753-6542x54898,http://spencer-stephens.com/,11 AM - 6 PM,2,"$47,867",11,2014,https://sawyer.com/,margaretshields@example.org,347,Very Expensive,1.0,Adventure Park,11 AM - 11 PM,https://www.lyons.com/,https://www.diaz.com/,http://jones.biz/,https://www.horton-boone.net/
Bryant-Stewart,"946 Waller Plains
Port Melissa, VI 17860",(764)205-8959,http://www.koch.org/,9 AM - 8 PM,257,"$28,419",40,2004,http://daniels.biz/,ichapman@example.org,136,Inexpensive,2.0,Adventure Park,10 AM - 11 PM,https://www.simpson.com/,http://www.brady.com/,https://www.flynn.com/,https://www.martinez.com/
Williams Ltd,"0066 Martinez Neck
Damonland, KS 34928",001-533-731-6036x34889,https://horn.com/,11 AM - 7 PM,421,"$51,932",30,2008,http://www.shelton.org/,cnelson@example.com,456,Expensive,1.3,Puzzle Room,9 AM - 5 PM,http://perkins.biz/,http://www.saunders.com/,https://carr-smith.net/,https://graham.com/
"Smith, Howell and Smith","602 Richard Streets Apt. 614
East Joseph, NY 03825",001-866-244-0493x5146,http://york-turner.org/,11 AM - 8 PM,338,"$20,344",11,2000,http://turner.com/,theresaramos@example.net,999,Free,1.2,Puzzle Room,10 AM - 8 PM,https://www.smith.org/,https://evans-knight.com/,https://www.hughes-hammond.biz/,https://jenkins-faulkner.biz/
Davies-Huff,"589 Maria Shoal
New Sheilaport, WV 41228",5163821425,https://williams.com/,9 AM - 9 PM,411,"$26,368",47,2018,https://www.bowman.com/,parkerlacey@example.com,250,Expensive,3.8,Puzzle Room,11 AM - 7 PM,https://nolan.com/,https://www.mata-brooks.org/,https://www.glenn.com/,https://morris.com/
Myers-Salas,"443 Jeffrey Plains Apt. 097
Port Lisa, MS 36492",515.209.1756x00525,http://smith.com/,11 AM - 5 PM,34,"$39,032",9,2022,http://www.taylor.org/,jeffrey11@example.org,816,Free,3.8,Puzzle Room,10 AM - 11 PM,http://www.edwards.info/,http://maldonado-bell.org/,https://flores.biz/,http://acevedo-gregory.com/
"Hernandez, Terry and Rivera","94972 Lauren Centers
West Joshua, MT 71227",+1-874-486-6155x965,http://www.mcdaniel.com/,11 AM - 9 PM,490,"$53,613",23,2014,http://www.williams-harris.com/,emmafranco@example.org,289,Very Expensive,1.3,Puzzle Room,10 AM - 9 PM,https://sharp.info/,https://hernandez.org/,https://www.west-mercer.com/,https://gonzalez-bishop.net/
Anderson-Watts,"59824 Marissa Prairie Apt. 977
Larsentown, AL 93450",+1-629-664-4075x8229,https://www.flores-brown.org/,9 AM - 5 PM,448,"$22,716",18,2011,https://james.com/,zachary60@example.net,576,Expensive,3.5,Adventure Park,9 AM - 7 PM,http://www.rogers.com/,https://schmitt.net/,http://brady.info/,http://www.day.net/
Sanders-Preston,"2780 Castillo Ferry Apt. 749
East Bruce, FM 02899",365.588.9699,https://www.webb.com/,11 AM - 11 PM,430,"$35,578",32,2000,http://rodriguez.biz/,berrymatthew@example.org,182,Moderate,3.1,Adventure Park,10 AM - 7 PM,http://rubio.com/,https://www.schmidt-fitzgerald.com/,https://www.osborn.com/,https://www.perez.com/
"Mcconnell, Davis and White","0415 Rodriguez Crossroad Suite 686
Jacobsonborough, MN 46551",480.773.3065,http://martin.com/,10 AM - 5 PM,7,"$59,293",9,2002,http://sanchez.com/,jeffrey85@example.com,788,Inexpensive,3.3,Escape Room,9 AM - 10 PM,https://www.reyes-martin.com/,http://www.hernandez.com/,https://www.cummings-rice.com/,https://huynh.com/
"Rodriguez, Davis and Mitchell","595 Flores Island
Catherineburgh, WA 37209",001-434-313-3869x840,https://www.welch-williams.net/,9 AM - 11 PM,392,"$51,575",37,2002,http://wade.org/,hschultz@example.com,191,Free,4.8,Adventure Park,11 AM - 9 PM,http://cooper.org/,https://www.harrington.com/,http://carter.com/,http://cruz.com/
Jackson Group,"7064 Kent Station
Wagnershire, PA 41054",(700)490-9813x3036,http://www.parrish-elliott.com/,11 AM - 5 PM,263,"$43,992",32,2009,https://sims.com/,william03@example.com,968,Inexpensive,3.3,Adventure Park,9 AM - 10 PM,http://kelly.biz/,https://white.info/,http://www.smith.org/,https://www.johnston-davis.net/
Jones Ltd,"4139 Daniel Keys Suite 751
North Scott, MN 89859",+1-966-534-7215x03868,https://www.bishop-lee.com/,11 AM - 11 PM,353,"$54,133",37,2015,http://miles.com/,amcgrath@example.net,668,Inexpensive,3.3,Escape Room,10 AM - 6 PM,https://tucker.com/,http://www.caldwell.org/,https://www.zamora.info/,http://norris.com/
